IMO/LR/IHS No.;Name of Ship;Flag;MMSI;Callsign;Status;GT;Ship Type
8925517;169;Lithuania;277215000;LYNQ;In Service/Commission;120;Fishing Vessel
8138982;652;Lithuania;277217000;LYLM;In Service/Commission;117;Fishing Vessel
8722496;694;Lithuania;277189000;LYJB;In Service/Commission;117;Fishing Vessel
7128332;A WIND;Cameroon;613642100;TJM0029;In Service/Commission;15879;Passenger/Ro-Ro Ship (Vehicles/Rail)
9334600;ABAI;Kazakhstan;436000162;UNAS;In Service/Commission;7224;Products Tanker
9106900;ADMIRAL DE RIBAS;Palau;511100209;T8A3308;In Service/Commission;2446;General Cargo Ship
7117632;AEOLIS;Greece;237037400;SW2020;In Service/Commission;366;Passenger/Ro-Ro Ship (Vehicles)
9823089;AGAR;Estonia;276837000;ESKX;In Service/Commission;188;Tug
9297826;AGDAM;Azerbaijan;423358100;4JOJ;In Service/Commission;8547;Rail Vehicles Carrier
8967759;AGIA EIRINI;Greece;237003700;SX2863;In Service/Commission;1480;Passenger/Ro-Ro Ship (Vehicles)
8968985;AGIA TRIADA;Greece;237357900;SW8882;In Service/Commission;473;Passenger Ship
8969343;AGIOS NEKTARIOS AIGINAS;Greece;237021400;SX7083;In Service/Commission;1871;Passenger/Ro-Ro Ship (Vehicles)
9008079;AK AMBITION;Panama;352001464;3E2483;In Service/Commission;4902;General Cargo Ship
8212594;AKADEMIK HESEN ALIYEV;Azerbaijan;423005100;4JFB;In Service/Commission;11450;Passenger/Ro-Ro Ship (Vehicles/Rail)
9881469;AKADEMIK KHOSHBAKHT YUSIFZADEH;Azerbaijan;423510100;4JTK;Launched;8523;Chemical/Products Tanker
8521048;AKADEMIK TOFIK ISMAYILOV;Azerbaijan;423098100;4JIZ;In Service/Commission;4298;Diving Support Vessel
8729107;AKHTIAR;Georgia;213512000;4LUU2;In Service/Commission;1178;Tug
9702663;ALAJA;Turkmenistan;434122600;EZHK;In Service/Commission;4793;Products Tanker
9539810;ALCOR STAR;Malta;215636000;9HA5219;In Service/Commission;7848;Products Tanker 
8866826;ALEKSANDR LEBED;Panama;374087000;3FMB5;In Service/Commission;4972;General Cargo Ship
8845640;ALEKSEY SLOBODCHIKOV;New Zealand;512409000;ZMAL;In Service/Commission;4407;Fish Factory Ship
9701499;ALEM;Turkmenistan;434123900;EZHX;In Service/Commission;474;Tug
8857772;ALENA;Panama;352001398;3E2149;In Service/Commission;4949;General Cargo Ship
9720720;ALEUT;Panama;;HOA7384;In Service/Commission;4841;Anchor Handling Tug Supply
8876340;ALEXANDRA 1;Panama;352001399;3E2150;In Service/Commission;4949;General Cargo Ship
8228036;ALFA ORIONIS;Comoros;620656000;D6A2686;In Service/Commission;2466;General Cargo Ship
8860494;ALI MUSTAFAYEV;Azerbaijan;423179100;4JJL;In Service/Commission;4510;Pollution Control Vessel
9175195;ALI NAJAFOV;Liberia;636093098;5LFG2;In Service/Commission;4606;Crude/Oil Products Tanker
8422462;ALIF HAJIYEV;Azerbaijan;423130100;4JLB;In Service/Commission;693;Research Survey Vessel
8655590;ALKIONIS;Greece;237027200;SX4338;In Service/Commission;191;Passenger Ship
9140968;ALMA;Cyprus;212856000;P3MF8;In Service/Commission;3817;Refrigerated Cargo Ship
9323106;ALMATY;Kazakhstan;436000032;UOF;In Service/Commission;7224;Products Tanker
9400253;ALPAMYS;Kazakhstan;436000319;UNFX;In Service/Commission;296;Pusher Tug
8897590;ALTAI;Kazakhstan;436000153;UNAK;In Service/Commission;237;Research Survey Vessel
8943416;ALTAIR;Sierra Leone;667021000;9LC2000;In Service/Commission;3131;General Cargo Ship
8520824;AMADORE;Malta;249784000;9HA2009;In Service/Commission;8253;Bulk Carrier
9312341;AMALIYA;Malta;248153000;9HA2210;In Service/Commission;16960;Bulk Carrier
8721313;AMUR-2505;Panama;371195000;3EZM;In Service/Commission;2996;General Cargo Ship
9409754;AMURSKIY ZALIV;Panama;352001503;3E2518;In Service/Commission;4970;General Cargo Ship
9964065;ANATOIY LAMEKHOV;Cyprus;;;On Order/Not Commenced;39114;Crude/Oil Products Tanker
8119118;ANDOGA;Azerbaijan;423080100;4JEY;In Service/Commission;1491;Anchor Handling Tug Supply
8919788;ANNABELLA;Comoros;620743000;D6A2749;In Service/Commission;7398;Container Ship (Fully Cellular)
8943404;ANTARES;Sierra Leone;667022000;9LC2001;In Service/Commission;3131;General Cargo Ship
9901570;AQUAMARINE;St Vincent & The Grenadines;375366000;J8Y4763;In Service/Commission;497;Yacht
9573335;ARAZ;Azerbaijan;423335100;4JNX;Laid-Up;200;Crew Boat
7610426;ARCHIMEDES;Angola;603100362;D3P5483;In Service/Commission;5955;Fish Factory Ship
9323091;ASTANA;Kazakhstan;436000393;UNJL;In Service/Commission;7224;Products Tanker
8305767;ASTRA;St Kitts & Nevis;341607000;V4XK;In Service/Commission;2628;Trailing Suction Hopper Dredger
8613750;ATAMOGLAN KERIMOV;Azerbaijan;423133100;4JKD;In Service/Commission;1387;Crane Vessel
8725955;ATLANT;Lithuania;277253000;LYMI;In Service/Commission;117;Fishing Vessel
8908105;ATLANTIC HERMES;Belize;312823000;V3QW3;In Service/Commission;7765;Fish Factory Ship
2948751;ATLAS 1;St Vincent & The Grenadines;377007000;J8B3201;In Service/Commission;1247;Crane Vessel
8411059;ATLET-1;Turkmenistan;434113000;EZBK;In Service/Commission;1384;Crane Vessel
8416918;ATLET-2;Azerbaijan;423158100;4JCD;In Service/Commission;1384;Crane Vessel
8613786;ATLET-24;Azerbaijan;423161100;4JIQ;In Service/Commission;1387;Crane Vessel
8507418;ATLET-5;Azerbaijan;423159100;4JGI;In Service/Commission;1384;Crane Vessel
8511457;ATLET-8;Azerbaijan;423160100;4JCC;In Service/Commission;1384;Crane Vessel
8717283;AURORA DUBAI;Cyprus;210410000;5BZM5;In Service/Commission;6574;Research Survey Vessel
8138695;AVACHINSKY;Cameroon;613003609;TJMC64;In Service/Commission;4407;Fish Factory Ship
8889438;AVANGARD;Palau;511280000;T8A2239;In Service/Commission;2360;General Cargo Ship
8881515;AXION ESTIN;Greece;237025200;SW5988;In Service/Commission;391;Passenger/Ro-Ro Ship (Vehicles)
7604374;AZERBAIJAN;Azerbaijan;423075100;4JCJ;In Service/Commission;13336;Crane Vessel
9843106;AZERBAIJAN;Azerbaijan;423500100;4JDT;In Service/Commission;8523;Passenger/Ro-Ro Ship (Vehicles/Rail)
9284130;BABEK;Azerbaijan;423155100;4JMR;In Service/Commission;7833;Products Tanker
8932297;BADE;Sierra Leone;667509000;9LC2088;In Service/Commission;2456;General Cargo Ship
9684342;BAGTYYAR;Turkmenistan;434123200;EZHQ;In Service/Commission;9791;Passenger/Ro-Ro Ship (Vehicles)
8228000;BAKI-357;Azerbaijan;423413100;4JPI;In Service/Commission;2615;Ore/Oil Carrier
8872899;BAKINSKAYA-3;Azerbaijan;423261100;4JSI;In Service/Commission;627;Hopper, Motor
8887583;BAKINSKAYA-5;Azerbaijan;423262100;4JJI;Laid-Up;627;Hopper, Motor
8729705;BAKINSKAYA-6;Azerbaijan;423601100;4JSJ;In Service/Commission;911;Hopper, Motor
9881471;BAKU H113;Azerbaijan;;;Keel Laid;8523;Chemical/Products Tanker
8884933;BAKU WIND;Belize;312309000;V3IL;In Service/Commission;2692;General Cargo Ship
9632363;BALAKEN;Azerbaijan;423368100;4JOW;In Service/Commission;8045;Rail Vehicles Carrier
9065950;BALKAN;Turkmenistan;434112000;EZAA;In Service/Commission;2446;General Cargo Ship
9481908;BALKAN 1;Cook Islands;518100381;E5U3297;In Service/Commission;4878;General Cargo Ship
9650951;BALKAN MARMARA;Barbados;314505000;8PAU9;In Service/Commission;5861;General Cargo Ship
8723543;BALOS EXPRES;Greece;237005600;SX6627;In Service/Commission;197;Passenger Ship
9181144;BALTIC HEATHER;Bahamas;311000973;C6EQ7;In Service/Commission;9859;Refrigerated Cargo Ship
9189902;BALTIC HOLLYHOCK;Bahamas;311000977;C6ER3;In Service/Commission;9649;Refrigerated Cargo Ship
9014755;BALTIC WINTER;Bahamas;309075000;C6VR4;In Service/Commission;10842;Refrigerated Cargo Ship
9057252;BALTIYSKIY-202;Panama;372837000;3EVM8;In Service/Commission;2506;General Cargo Ship
